filename,ATTRIBUTE_Sample_or_Blank,ATTRIBUTE_Sample_Type,ATTRIBUTE_Snow_Type,ATTRIBUTE_Sample_Month_Year_Collected,ATTRIBUTE_Date_Collected
NS1_1.mzML,Sample,NS,Natural Snowfall,NS_Feb_2023,Feb_2023
NS1_2.mzML,Sample,NS,Natural Snowfall,NS_Feb_2023,Feb_2023
NS1_3.mzML,Sample,NS,Natural Snowfall,NS_Feb_2023,Feb_2023
NS1_4.mzML,Sample,NS,Natural Snowfall,NS_Feb_2023,Feb_2023
NS1_5.mzML,Sample,NS,Natural Snowfall,NS_Feb_2023,Feb_2023
NS1_6.mzML,Sample,NS,Natural Snowfall,NS_Feb_2023,Feb_2023
NS4_1.mzML,Sample,NS,Natural Snowfall,NS_Dec_2022,Dec_2022
NS4_2.mzML,Sample,NS,Natural Snowfall,NS_Dec_2022,Dec_2022
NS5_1.mzML,Sample,NS,Natural Snowfall,NS_Mar_2022,March_2022
NS5_2.mzML,Sample,NS,Natural Snowfall,NS_Mar_2022,March_2022
NS6_1.mzML,Sample,NS,Natural Snowfall,NS_Apr_2023,April_2023
NS6_2.mzML,Sample,NS,Natural Snowfall,NS_Apr_2023,April_2023
NS6_3.mzML,Sample,NS,Natural Snowfall,NS_Apr_2023,April_2023
NS6_4.mzML,Sample,NS,Natural Snowfall,NS_Apr_2023,April_2023
NS6_5.mzML,Sample,NS,Natural Snowfall,NS_Apr_2023,April_2023
SMRW1_1.mzML,Sample,SMRW,Low Snowmaking,SMRW_Feb_2023,Feb_2023
SMRW1_2.mzML,Sample,SMRW,Low Snowmaking,SMRW_Feb_2023,Feb_2023
SMRW1_3.mzML,Sample,SMRW,Low Snowmaking,SMRW_Feb_2023,Feb_2023
SMRW1_4.mzML,Sample,SMRW,Low Snowmaking,SMRW_Feb_2023,Feb_2023
SMRW1_5.mzML,Sample,SMRW,Low Snowmaking,SMRW_Feb_2023,Feb_2023
SMRW1_6.mzML,Sample,SMRW,Low Snowmaking,SMRW_Feb_2023,Feb_2023
SMRW1_7.mzML,Sample,SMRW,Low Snowmaking,SMRW_Feb_2023,Feb_2023
SMRW1_8.mzML,Sample,SMRW,Low Snowmaking,SMRW_Feb_2023,Feb_2023
SMRW1_9.mzML,Sample,SMRW,Low Snowmaking,SMRW_Feb_2023,Feb_2023
SMRW1_10.mzML,Sample,SMRW,Low Snowmaking,SMRW_Feb_2023,Feb_2023
SMRW8_1.mzML,Sample,SMRW,Low Snowmaking,SMRW_Apr_2023,April_2023
SMRW8_2.mzML,Sample,SMRW,Low Snowmaking,SMRW_Apr_2023,April_2023
SMRW8_3.mzML,Sample,SMRW,Low Snowmaking,SMRW_Apr_2023,April_2023
SMRW8_4.mzML,Sample,SMRW,Low Snowmaking,SMRW_Apr_2023,April_2023
SMRW8_5.mzML,Sample,SMRW,Low Snowmaking,SMRW_Apr_2023,April_2023
SMRW6_1.mzML,Sample,SMRW,High Snowmaking,SMRW_Dec_2022,Dec_2022
SMRW6_2.mzML,Sample,SMRW,High Snowmaking,SMRW_Dec_2022,Dec_2022
SMRW7_1.mzML,Sample,SMRW,High Snowmaking,SMRW_Mar_2022,March_2022
SMRW7_2.mzML,Sample,SMRW,High Snowmaking,SMRW_Mar_2022,March_2022
SMRW7_3.mzML,Sample,SMRW,High Snowmaking,SMRW_Mar_2022,March_2022
